instnm,Control of institution,Undergraduate offering,Carnegie Classification 2010: Undergraduate Instructional Program,Carnegie Classification 2010: Basic,Carnegie Classification 2010: Undergraduate Profile,Carnegie Classification 2010: Enrollment Profile,Carnegie Classification 2010: Size and Setting,Longitude location of institution,Latitude location of institution,Average net price (income 75-001-110-000)-students receiving Title IV Federal financial aid-2010-11,Average net price (income over 110-000)-students receiving Title IV Federal financial aid- 2010-11,percent graduates Computer and Information Sciences and Support Services,To Visit
Skyline College,Public,Undergraduate degree or certificate offering,Associates,Associate's--Public Suburban-serving Multicampus,Higher part-time two-year,Exclusively undergraduate two-year,Large two-year,-122.465977,37.630542999999996,,,,
San Bernardino Valley College,Public,Undergraduate degree or certificate offering,Associates,Associate's--Public Urban-serving Multicampus,Higher part-time two-year,Exclusively undergraduate two-year,Large two-year,-117.31381399999999,34.088716999999995,,,,
Saint Marys College of California,Private not-for-profit,Undergraduate degree or certificate offering,Balanced arts & sciences/professions- some graduate coexistence,Master's Colleges and Universities (larger programs),Full-time four-year- selective- lower transfer-in,High undergraduate,Medium four-year- highly residential,-122.10679499999999,37.839970000000001,31739.0,38859.0,,
Solano Community College,Public,Undergraduate degree or certificate offering,Associates,Associate's--Public Suburban-serving Single Campus,Higher part-time two-year,Exclusively undergraduate two-year,Large two-year,-122.120232,38.235512999999997,,,,
Sonoma State University,Public,Undergraduate degree or certificate offering,Arts & sciences plus professions- some graduate coexistence,Master's Colleges and Universities (larger programs),Full-time four-year- selective- higher transfer-in,Very high undergraduate,Medium four-year- primarily residential,-122.67326100000001,38.341023,,,0.01,
Pinnacle College,Private for-profit,Undergraduate degree or certificate offering,Not classified,Associate's--Private For-profit,Higher full-time two-year,Very high undergraduate,Very small two-year,-118.150493,34.081485000000001,30886.0,32422.0,,
South Baylo University,Private not-for-profit,Undergraduate degree or certificate offering,Not applicable- special focus institution,Other health professions schools,Not applicable- special focus institution,Majority undergraduate,Not applicable- special focus institution,-117.95866299999999,33.847935999999997,,,,
South Coast College,Private for-profit,Undergraduate degree or certificate offering,Associates,Associate's--Private For-profit,Medium full-time two-year,Exclusively undergraduate two-year,Very small two-year,-117.874109,33.787946000000005,,20140.0,,
Vanguard University of Southern California,Private not-for-profit,Undergraduate degree or certificate offering,Balanced arts & sciences/professions- some graduate coexistence,Baccalaureate Colleges--Diverse Fields,Full-time four-year- selective- higher transfer-in,High undergraduate,Small four-year- highly residential,-117.90091100000001,33.662686000000001,23650.0,26929.0,0.0,
Concorde Career College-Garden Grove,Private for-profit,Undergraduate degree or certificate offering,Associates,Associate's--Private For-profit,Higher full-time two-year,Exclusively undergraduate two-year,Small two-year,-117.938395,33.774740999999999,28791.0,28791.0,,
Southwestern College,Public,Undergraduate degree or certificate offering,Associates,Associate's--Public Suburban-serving Single Campus,Higher part-time two-year,Exclusively undergraduate two-year,Very large two-year,-116.997215,32.641566999999995,,,,
St John's Seminary,Private not-for-profit,No undergraduate offering,Not applicable- special focus institution,Theological seminaries- Bible colleges- and other faith-related institutions,Not applicable- special focus institution,Majority graduate/professional,Not applicable- special focus institution,-119.001395,34.244033999999999,,,,
Starr King School for Ministry,Private not-for-profit,No undergraduate offering,Not applicable- special focus institution,Theological seminaries- Bible colleges- and other faith-related institutions,Not applicable- special focus institution,Exclusively graduate/professional,Not applicable- special focus institution,-122.26177800000001,37.876939,,,,
State Center Community College District,Public,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-119.792755,36.768865000000005,,,,
Southern California College of Optometry,Private not-for-profit,Undergraduate degree or certificate offering,Not applicable- special focus institution,Other health professions schools,Not applicable- special focus institution,Exclusively graduate/professional,Not applicable- special focus institution,-117.88615800000001,33.889819000000003,,,,
Southern California Institute of Architecture,Private not-for-profit,Undergraduate degree or certificate offering,Not applicable- special focus institution,Schools of art- music- and design,Not applicable- special focus institution,Majority undergraduate,Not applicable- special focus institution,-118.232703,34.04365,29269.0,,,
University of Southern California,Private not-for-profit,Undergraduate degree or certificate offering,Balanced arts & sciences/professions- high graduate coexistence,Research Universities (very high research activity),Full-time four-year- more selective- higher transfer-in,Majority undergraduate,Large four-year- primarily residential,-118.28385800000001,34.021058000000004,32046.0,43055.0,0.01,
Southwestern Law School,Private not-for-profit,No undergraduate offering,Not applicable- special focus institution,Schools of law,Not applicable- special focus institution,Exclusively graduate/professional,Not applicable- special focus institution,-118.288375,34.061558000000005,,,,
Taft College,Public,Undergraduate degree or certificate offering,Associates,Associate's--Public Suburban-serving Single Campus,Higher part-time two-year,Exclusively undergraduate two-year,Medium two-year,-119.461803,35.148858000000004,,,,
Claremont School of Theology,Private not-for-profit,No undergraduate offering,Not applicable- special focus institution,Theological seminaries- Bible colleges- and other faith-related institutions,Not applicable- special focus institution,Exclusively graduate/professional,Not applicable- special focus institution,-117.71525600000001,34.107602,,,,
Thomas Aquinas College,Private not-for-profit,Undergraduate degree or certificate offering,Arts & sciences focus- no graduate coexistence,Baccalaureate Colleges--Arts & Sciences,Full-time four-year- more selective- lower transfer-in,Exclusively undergraduate four-year,Very small four-year- highly residential,-119.08714099999999,34.429009000000001,19513.0,30096.0,,
Marinello Schools of Beauty-Lake Forest,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-117.704674,33.619320000000002,21552.0,21552.0,,
Epic Bible College,Private not-for-profit,Undergraduate degree or certificate offering,Not applicable- special focus institution,Theological seminaries- Bible colleges- and other faith-related institutions,Not applicable- special focus institution,Exclusively undergraduate four-year,Not applicable- special focus institution,-121.36289199999999,38.645608000000003,,,,
University of California System Administration Central Office,Public,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-122.27134,37.802222,,,,
United Education Institute-Huntington Park Campus,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-118.226206,33.986057000000002,28052.0,28201.0,,
Concorde Career College-San Bernardino,Private for-profit,Undergraduate degree or certificate offering,Associates,Associate's--Private For-profit,Higher full-time two-year,Exclusively undergraduate two-year,Small two-year,-117.28398,34.067219999999999,27373.0,27373.0,,
Universal College of Beauty Inc-Los Angeles 1,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-118.292148,33.959434999999999,,,,
Concorde Career College-North Hollywood,Private for-profit,Undergraduate degree or certificate offering,Associates,Associate's--Private For-profit,Higher full-time two-year,Exclusively undergraduate two-year,Small two-year,-118.403755,34.186464000000001,28189.0,28189.0,,
Ventura County Community College System Office,Public,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-119.23060700000001,34.277246000000005,,,,
Ventura College,Public,Undergraduate degree or certificate offering,Associates,Associate's--Public Urban-serving Multicampus,Higher part-time two-year,Exclusively undergraduate two-year,Large two-year,-119.230659,34.277034999999998,,,,
The Santa Barbara and Ventura Colleges of Law-Ventura,Private not-for-profit,No undergraduate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-119.233148,34.257282000000004,,,,
Victor Valley Beauty College Inc,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-117.303918,34.528578000000003,15133.0,15133.0,,
Victor Valley College,Public,Undergraduate degree or certificate offering,Associates,Associate's--Public Suburban-serving Single Campus,Higher part-time two-year,Exclusively undergraduate two-year,Large two-year,-117.26145600000001,34.472231000000001,,,,
Berkeley City College,Public,Undergraduate degree or certificate offering,Associates,Associate's--Public Urban-serving Multicampus,Higher part-time two-year,Exclusively undergraduate two-year,Medium two-year,-122.26979299999999,37.870470000000005,,,,
West Valley Mission Community College District Office,Public,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-122.01107900000001,37.262847000000001,,,,
Walden University,Private for-profit,Undergraduate degree or certificate offering,Professions focus- high graduate coexistence,Doctoral/Research Universities,Higher part-time four-year,Majority graduate/professional,Large four-year- primarily nonresidential,-93.261164000000008,44.978827000000003,,,0.02,
Maxine Waters Employment Preparation Center,Public,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-118.25226299999999,33.935713,,,,
West Hills College Coalinga,Public,Undergraduate degree or certificate offering,Associates,Associate's--Public Suburban-serving Multicampus,Higher part-time two-year,Exclusively undergraduate two-year,Small two-year,-120.356747,36.147890999999994,,,,
West Los Angeles College,Public,Undergraduate degree or certificate offering,Associates,Associate's--Public Urban-serving Multicampus,Higher part-time two-year,Exclusively undergraduate two-year,Large two-year,-118.387578,34.005578,,,,
The University of West Los Angeles,Private not-for-profit,No undergraduate offering,Not applicable- special focus institution,Schools of law,Not applicable- special focus institution,Exclusively graduate/professional,Not applicable- special focus institution,-118.36980800000001,33.946185999999997,,,,
West Valley College,Public,Undergraduate degree or certificate offering,Associates,Associate's--Public Suburban-serving Multicampus,Higher part-time two-year,Exclusively undergraduate two-year,Large two-year,-122.00970100000001,37.263133000000003,,,,
Carrington College California-Sacramento,Private for-profit,Undergraduate degree or certificate offering,Associates,Associate's--Private For-profit,Higher full-time two-year,Exclusively undergraduate two-year,Small two-year,-121.36891999999999,38.561776999999999,23217.0,23284.0,,
Westminster Theological Seminary in California,Private not-for-profit,No undergraduate offering,Not applicable- special focus institution,Theological seminaries- Bible colleges- and other faith-related institutions,Not applicable- special focus institution,Exclusively graduate/professional,Not applicable- special focus institution,-117.04637099999999,33.121446999999996,,,,
Westmont College,Private not-for-profit,Undergraduate degree or certificate offering,Arts & sciences plus professions- no graduate coexistence,Baccalaureate Colleges--Arts & Sciences,Full-time four-year- more selective- lower transfer-in,Very high undergraduate,Small four-year- highly residential,-119.66193100000001,34.449265000000004,24623.0,23125.0,0.01,
Whittier College,Private not-for-profit,Undergraduate degree or certificate offering,Arts & sciences plus professions- no graduate coexistence,Baccalaureate Colleges--Arts & Sciences,Full-time four-year- selective- higher transfer-in,Majority undergraduate,Small four-year- highly residential,-118.028402,33.977625000000003,26786.0,31788.0,,
Woodbury University,Private not-for-profit,Undergraduate degree or certificate offering,Professions focus- some graduate coexistence,Master's Colleges and Universities (medium programs),Full-time four-year- inclusive,High undergraduate,Small four-year- primarily nonresidential,-118.34069199999999,34.209226000000001,29640.0,31307.0,0.0,
The Wright Institute,Private not-for-profit,No undergraduate offering,Not applicable- special focus institution,Other health professions schools,Not applicable- special focus institution,Exclusively graduate/professional,Not applicable- special focus institution,-122.25316799999999,37.868221000000005,,,,
Western State University-College of Law-Argosy,Private for-profit,No undergraduate offering,Not applicable- special focus institution,Schools of law,Not applicable- special focus institution,Exclusively graduate/professional,Not applicable- special focus institution,-117.89027400000001,33.880671999999997,,,,
Thomas Jefferson School of Law,Private not-for-profit,No undergraduate offering,Not applicable- special focus institution,Schools of law,Not applicable- special focus institution,Exclusively graduate/professional,Not applicable- special focus institution,-117.15413799999999,32.710394000000001,,,,
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,Private not-for-profit,Undergraduate degree or certificate offering,Not applicable- special focus institution,Theological seminaries- Bible colleges- and other faith-related institutions,Not applicable- special focus institution,Exclusively undergraduate four-year,Not applicable- special focus institution,-118.34668799999999,34.085493999999997,,,,
Yosemite Community College District Office,Public,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-121.04001100000001,37.661040999999997,,,,
Yuba College,Public,Undergraduate degree or certificate offering,Associates,Associate's--Public Rural-serving Large,Higher part-time two-year,Exclusively undergraduate two-year,Large two-year,-121.53931599999999,39.125995000000003,,,,
The Salon Professional Academy-Grand Junction,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-108.50761799999999,39.078196000000005,13659.0,13759.0,,
Adams State College,Public,Undergraduate degree or certificate offering,Arts & sciences plus professions- some graduate coexistence,Master's Colleges and Universities (medium programs),Full-time four-year- inclusive,High undergraduate,Small four-year- primarily residential,-105.88094299999999,37.477238,,,,
Aims Community College,Public,Undergraduate degree or certificate offering,Associates,Associate's--Public Rural-serving Medium,Higher part-time two-year,Exclusively undergraduate two-year,Medium two-year,-104.764335,40.409036999999998,,,,
Arapahoe Community College,Public,Undergraduate degree or certificate offering,Associates,Associate's--Public Suburban-serving Multicampus,Higher part-time two-year,Exclusively undergraduate two-year,Medium two-year,-105.018631,39.607504999999996,,,,
Bel-Rea Institute of Animal Technology,Private for-profit,Undergraduate degree or certificate offering,Associates,Associate's--Private For-profit,Higher full-time two-year,Exclusively undergraduate two-year,Small two-year,-104.87529199999999,39.686065999999997,22697.0,22697.0,,
Everest College-Colorado Springs,Private for-profit,Undergraduate degree or certificate offering,Associates,Associate's--Private For-profit,Medium full-time two-year,Exclusively undergraduate two-year,Small two-year,-104.740267,38.807095000000004,26108.0,,,
Boulder College of Massage Therapy,Private not-for-profit,Undergraduate degree or certificate offering,Associates,Associate's--Private Not-for-profit,Medium full-time two-year,Exclusively undergraduate two-year,Very small two-year,-105.207489,40.064782000000001,,,,
University of Colorado Denver,Public,Undergraduate degree or certificate offering,Arts & sciences plus professions- high graduate coexistence,Research Universities (high research activity),Medium full-time four-year- inclusive,Majority undergraduate,Large four-year- primarily nonresidential,-104.99931299999999,39.746396999999995,,,0.01,
University of Colorado-Colorado Springs,Public,Undergraduate degree or certificate offering,Arts & sciences plus professions- some graduate coexistence,Master's Colleges and Universities (larger programs),Full-time four-year- selective- higher transfer-in,High undergraduate,Medium four-year- primarily nonresidential,-104.800296,38.892734999999995,,,0.01,
Redstone College,Private for-profit,Undergraduate degree or certificate offering,Associates,Associate's--Private For-profit,Medium full-time two-year,Exclusively undergraduate two-year,Small two-year,-105.119096,39.914821999999994,23201.0,23027.0,,
University of Colorado Boulder,Public,Undergraduate degree or certificate offering,Arts & sciences plus professions- high graduate coexistence,Research Universities (very high research activity),Full-time four-year- more selective- lower transfer-in,High undergraduate,Large four-year- primarily nonresidential,-105.26706100000001,40.004415000000002,,,0.01,
Colorado Christian University,Private not-for-profit,Undergraduate degree or certificate offering,Professions plus arts & sciences- some graduate coexistence,Master's Colleges and Universities (medium programs),Medium full-time four-year- selective- higher transfer-in,High undergraduate,Small four-year- primarily residential,-105.09483600000002,39.711700999999998,23131.0,24298.0,0.02,
Colorado College,Private not-for-profit,Undergraduate degree or certificate offering,Arts & sciences focus- no graduate coexistence,Baccalaureate Colleges--Arts & Sciences,Full-time four-year- more selective- lower transfer-in,Very high undergraduate,Small four-year- highly residential,-104.82422,38.84657,24118.0,37226.0,0.02,
Concorde Career College-Aurora,Private for-profit,Undergraduate degree or certificate offering,Associates,Associate's--Private For-profit,Higher full-time two-year,Exclusively undergraduate two-year,Small two-year,-104.86708899999999,39.718699000000001,28612.0,28819.0,,
The Art Institute of Colorado,Private for-profit,Undergraduate degree or certificate offering,Not applicable- special focus institution,Schools of art- music- and design,Not applicable- special focus institution,Exclusively undergraduate four-year,Not applicable- special focus institution,-104.98584699999999,39.735587000000002,34132.0,33889.0,0.20000000000000001,
Colorado Mountain College,Public,Undergraduate degree or certificate offering,Associates,Associate's--Public Rural-serving Large,Higher part-time two-year,Exclusively undergraduate two-year,Medium two-year,-107.23748400000001,39.469984000000004,,,,
Colorado Northwestern Community College,Public,Undergraduate degree or certificate offering,Associates,Associate's--Public Rural-serving Medium,Higher part-time two-year,Exclusively undergraduate two-year,Small two-year,-108.790296,40.080745,,,,
Colorado School of Mines,Public,Undergraduate degree or certificate offering,Professions focus- high graduate coexistence,Research Universities (high research activity),Full-time four-year- more selective- lower transfer-in,High undergraduate,Medium four-year- primarily residential,-105.227148,39.750790000000002,,,,
Colorado School of Trades,Private for-profit,Undergraduate degree or certificate offering,Associates,Associate's--Private For-profit,Higher full-time two-year,Exclusively undergraduate two-year,Very small two-year,-105.103945,39.741009000000005,,,,
Colorado State University-Fort Collins,Public,Undergraduate degree or certificate offering,Balanced arts & sciences/professions- high graduate coexistence,Research Universities (very high research activity),Full-time four-year- selective- higher transfer-in,High undergraduate,Large four-year- primarily residential,-105.08083000000001,40.574759,,,0.02,
Colorado Technical University-Colorado Springs,Private for-profit,Undergraduate degree or certificate offering,Professions focus- high graduate coexistence,Doctoral/Research Universities,Higher part-time four-year,Majority undergraduate,Small four-year- primarily nonresidential,-104.833928,38.894265000000004,22213.0,22413.0,0.23000000000000001,
Empire Beauty School-Lakewood,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-105.082104,39.722780999999998,,,,
Community College of Aurora,Public,Undergraduate degree or certificate offering,Associates,Associate's--Public Suburban-serving Multicampus,Higher part-time two-year,Exclusively undergraduate two-year,Medium two-year,-104.801861,39.717766999999995,,,,
College America-Denver,Private for-profit,Undergraduate degree or certificate offering,Associates Dominant,Baccalaureate/Associate's Colleges,Full-time four-year- inclusive,Exclusively undergraduate four-year,Very small four-year- primarily nonresidential,-104.94118,39.691571000000003,,,0.11,
Delta Montrose Technical College,Public,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-108.03107199999999,38.702523999999997,,,,
Prince Institute-Rocky Mountains,Private for-profit,Undergraduate degree or certificate offering,Associates,Associate's--Private For-profit,Higher full-time two-year,Exclusively undergraduate two-year,Very small two-year,-105.065051,39.859890999999998,26472.0,,,
Community College of Denver,Public,Undergraduate degree or certificate offering,Associates,Associate's--Public Urban-serving Multicampus,Higher part-time two-year,Exclusively undergraduate two-year,Large two-year,-105.00300700000001,39.741419999999998,,,,
Lincoln College of Technology-Denver,Private for-profit,Undergraduate degree or certificate offering,Associates,Associate's--Private For-profit,Higher full-time two-year,Exclusively undergraduate two-year,Small two-year,-105.00103799999999,39.708103999999999,20316.0,20779.0,,
Denver Seminary,Private not-for-profit,No undergraduate offering,Not applicable- special focus institution,Theological seminaries- Bible colleges- and other faith-related institutions,Not applicable- special focus institution,Majority graduate/professional,Not applicable- special focus institution,-105.02236299999998,39.600594999999998,,,,
Westwood College-Denver North,Private for-profit,Undergraduate degree or certificate offering,Professions focus- no graduate coexistence,Baccalaureate Colleges--Diverse Fields,Medium full-time four-year- inclusive,Exclusively undergraduate four-year,Very small four-year- primarily nonresidential,-104.98638600000001,39.830428999999995,21164.0,22250.0,0.38,
University of Denver,Private not-for-profit,Undergraduate degree or certificate offering,Balanced arts & sciences/professions- high graduate coexistence,Research Universities (high research activity),Full-time four-year- more selective- lower transfer-in,Majority undergraduate,Medium four-year- primarily residential,-104.964625,39.695954,29475.0,36568.0,0.01,
Emily Griffith Technical College,Public,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-104.99530300000001,39.741033999999999,,,,
Fort Lewis College,Public,Undergraduate degree or certificate offering,Arts & sciences plus professions- no graduate coexistence,Baccalaureate Colleges--Arts & Sciences,Full-time four-year- selective- higher transfer-in,Exclusively undergraduate four-year,Medium four-year- primarily residential,-107.867003,37.275428000000005,,,0.02,
Front Range Community College,Public,Undergraduate degree or certificate offering,Associates,Associate's--Public Suburban-serving Multicampus,Higher part-time two-year,Exclusively undergraduate two-year,Very large two-year,-105.039359,39.901757000000003,,,,
Glenwood Beauty Academy,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-107.359099,39.561946999999996,,12286.0,,
Hair Dynamics Education Center,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-105.07649199999999,40.497240999999995,13946.0,13946.0,,
Iliff School of Theology,Private not-for-profit,No undergraduate offering,Not applicable- special focus institution,Theological seminaries- Bible colleges- and other faith-related institutions,Not applicable- special focus institution,Majority graduate/professional,Not applicable- special focus institution,-104.96064699999999,39.677461000000001,,,,
International Salon and Spa Academy,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-104.786252,38.913620999999999,14224.0,14224.0,,
Lamar Community College,Public,Undergraduate degree or certificate offering,Associates,Associate's--Public Rural-serving Small,Mixed part/full-time two-year,Exclusively undergraduate two-year,Small two-year,-102.615612,38.058067000000001,,,,
Colorado Mesa University,Public,Undergraduate degree or certificate offering,Balanced arts & sciences/professions- some graduate coexistence,Baccalaureate Colleges--Arts & Sciences,Medium full-time four-year- inclusive,Very high undergraduate,Medium four-year- primarily nonresidential,-108.54028100000001,39.076353999999995,,,0.01,
Metropolitan State College of Denver,Public,Undergraduate degree or certificate offering,Balanced arts & sciences/professions- no graduate coexistence,Baccalaureate Colleges--Diverse Fields,Medium full-time four-year- selective- lower transfer-in,Exclusively undergraduate four-year,Large four-year- primarily nonresidential,-105.00239099999999,39.742247999999996,,,0.01,
Morgan Community College,Public,Undergraduate degree or certificate offering,Associates,Associate's--Public Rural-serving Medium,Higher part-time two-year,Exclusively undergraduate two-year,Small two-year,-103.771822,40.258792,,,,
Naropa University,Private not-for-profit,Undergraduate degree or certificate offering,Arts & sciences focus- some graduate coexistence,Master's Colleges and Universities (larger programs),Full-time four-year- inclusive,Majority graduate/professional,Very small four-year- primarily nonresidential,-105.267073,40.014815999999996,32736.0,39019.0,,
National American University-Colorado Springs,Private for-profit,Undergraduate degree or certificate offering,Professions focus- no graduate coexistence,Baccalaureate Colleges--Diverse Fields,Higher part-time four-year,Exclusively undergraduate four-year,Very small four-year- primarily nonresidential,-104.790837,38.952694000000001,,22436.0,0.0,
National American University-Denver,Private for-profit,Undergraduate degree or certificate offering,Professions focus- no graduate coexistence,Baccalaureate Colleges--Diverse Fields,Higher part-time four-year,Exclusively undergraduate four-year,Very small four-year- primarily nonresidential,-104.941649,39.691953000000005,20026.0,20026.0,0.0,
Nazarene Bible College,Private not-for-profit,Undergraduate degree or certificate offering,Not applicable- special focus institution,Theological seminaries- Bible colleges- and other faith-related institutions,Not applicable- special focus institution,Exclusively undergraduate four-year,Not applicable- special focus institution,-104.751124,38.814124,,,,
Northeastern Junior College,Public,Undergraduate degree or certificate offering,Associates,Associate's--Public Rural-serving Medium,Higher part-time two-year,Exclusively undergraduate two-year,Small two-year,-103.197536,40.636879,,,,
University of Northern Colorado,Public,Undergraduate degree or certificate offering,Balanced arts & sciences/professions- some graduate coexistence,Doctoral/Research Universities,Full-time four-year- selective- higher transfer-in,High undergraduate,Large four-year- primarily residential,-104.70172099999999,40.403178000000004,,,,
Otero Junior College,Public,Undergraduate degree or certificate offering,Associates,Associate's--Public Rural-serving Small,Mixed part/full-time two-year,Exclusively undergraduate two-year,Small two-year,-103.54477900000001,37.971184000000001,,,,
Everest College-Thornton,Private for-profit,Undergraduate degree or certificate offering,Associates,Associate's--Private For-profit,Medium full-time two-year,Exclusively undergraduate two-year,Small two-year,-104.98544099999999,39.861559999999997,26423.0,26423.0,,
Pikes Peak Community College,Public,Undergraduate degree or certificate offering,Associates,Associate's--Public Urban-serving Multicampus,Higher part-time two-year,Exclusively undergraduate two-year,Large two-year,-104.787261,38.764287000000003,,,,
Intellitec Medical Institute,Private for-profit,Undergraduate degree or certificate offering,Associates,Associate's--Private For-profit,Higher full-time two-year,Exclusively undergraduate two-year,Very small two-year,-104.756227,38.865752000000001,14401.0,14401.0,,
Pueblo Community College,Public,Undergraduate degree or certificate offering,Associates,Associate's--Public Rural-serving Large,Mixed part/full-time two-year,Exclusively undergraduate two-year,Medium two-year,-104.63639599999999,38.263458,,,,
Red Rocks Community College,Public,Undergraduate degree or certificate offering,Associates,Associate's--Public Suburban-serving Multicampus,Higher part-time two-year,Exclusively undergraduate two-year,Large two-year,-105.150094,39.720277000000003,,,,
