instnm,Control of institution,Undergraduate offering,Carnegie Classification 2010: Undergraduate Instructional Program,Carnegie Classification 2010: Basic,Carnegie Classification 2010: Undergraduate Profile,Carnegie Classification 2010: Enrollment Profile,Carnegie Classification 2010: Size and Setting,Longitude location of institution,Latitude location of institution,Average net price (income 75-001-110-000)-students receiving Title IV Federal financial aid-2010-11,Average net price (income over 110-000)-students receiving Title IV Federal financial aid- 2010-11,percent graduates Computer and Information Sciences and Support Services,To Visit
Antioch University-New England,Private not-for-profit,No undergraduate offering,Not applicable- graduate institution,Master's Colleges and Universities (larger programs),Not applicable,Majority graduate/professional,Exclusively graduate/professional,-72.293797999999995,42.932344000000001,,,,
Antioch University-Seattle,Private not-for-profit,Undergraduate degree or certificate offering,Arts & sciences focus- no graduate coexistence,Master's Colleges and Universities (medium programs),Higher part-time four-year,Majority graduate/professional,Very small four-year- primarily nonresidential,-122.342647,47.616959999999999,32820.0,32987.0,,
Antioch University-Midwest,Private not-for-profit,Undergraduate degree or certificate offering,Balanced arts & sciences/professions- high graduate coexistence,Master's Colleges and Universities (medium programs),Higher part-time four-year,Majority graduate/professional,Very small four-year- primarily nonresidential,-83.892094,39.795828,,,,
Mid-America Christian University,Private not-for-profit,Undergraduate degree or certificate offering,Professions plus arts & sciences- some graduate coexistence,Baccalaureate Colleges--Diverse Fields,Medium full-time four-year- inclusive,High undergraduate,Small four-year- primarily nonresidential,-97.578296999999992,35.347784999999995,23634.0,23634.0,,
Platt College-Tulsa,Private for-profit,Undergraduate degree or certificate offering,Associates,Associate's--Private For-profit,Higher full-time two-year,Exclusively undergraduate two-year,Very small two-year,-95.907010999999997,36.107931000000001,23097.0,23097.0,,
Ponca City Beauty College,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-97.076898,36.703852000000005,,,,
Francis Tuttle Technology Center,Public,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-97.640671999999995,35.600520000000003,,,,
Career Point College,Private for-profit,Undergraduate degree or certificate offering,Not classified,Associate's--Private For-profit,Higher full-time two-year,Very high undergraduate,Very small two-year,-95.853268,36.117166999999995,,,,
Central Technology Center,Public,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-96.585321999999991,35.994261000000002,,,,
Carrington College-Portland,Private for-profit,Undergraduate degree or certificate offering,Associates,Associate's--Private For-profit,Higher full-time two-year,Exclusively undergraduate two-year,Small two-year,-122.65358300000001,45.532356,25467.0,,,
Career Technology Center of Lackawanna County,Public,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-75.652477000000005,41.452849000000001,,,,
Kaplan Career Institute-Nashville,Private for-profit,Undergraduate degree or certificate offering,Associates,Associate's--Private For-profit,Higher full-time two-year,Exclusively undergraduate two-year,Small two-year,-86.70151899999999,36.142965999999994,25735.0,25735.0,,
Kaplan College-El Paso,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-106.327868,31.737748,22882.0,,,
Houston Graduate School of Theology,Private not-for-profit,No undergraduate offering,Not applicable- special focus institution,Theological seminaries- Bible colleges- and other faith-related institutions,Not applicable- special focus institution,Exclusively graduate/professional,Not applicable- special focus institution,-95.375535999999997,29.738356,,,,
Palo Alto College,Public,Undergraduate degree or certificate offering,Associates,Associate's--Public Urban-serving Multicampus,Higher part-time two-year,Exclusively undergraduate two-year,Medium two-year,-98.546712999999997,29.322925000000001,,,,
Sebring Career Schools-Huntsville,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-95.547072999999997,30.708909000000002,,,,
University of Cosmetology Arts & Sciences-San Antonio Perrin,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-98.412979000000007,29.543796,,,,
